DD/MM/YYYY HH:MM:SS,light(lux)
12/8/2018 18:48,1.136
12/8/2018 18:53,3.407
12/8/2018 18:58,3.407
12/8/2018 19:03,3.407
12/8/2018 19:08,3.407
12/8/2018 19:13,3.407
12/8/2018 19:18,4.542
12/8/2018 19:23,4.542
12/8/2018 19:28,3.407
12/8/2018 19:33,3.407
12/8/2018 19:38,3.407
12/8/2018 19:43,3.407
12/8/2018 19:48,3.407
12/8/2018 19:53,3.407
12/8/2018 19:58,3.407
12/8/2018 20:03,3.407
12/8/2018 20:08,3.407
12/8/2018 20:13,3.407
12/8/2018 20:18,3.407
12/8/2018 20:23,3.407
12/8/2018 20:28,3.407
12/8/2018 20:33,3.407
12/8/2018 20:38,3.407
12/8/2018 20:43,2.271
12/8/2018 20:48,2.271
12/8/2018 20:53,2.271
12/8/2018 20:58,2.271
12/8/2018 21:03,1.136
12/8/2018 21:08,1.136
12/8/2018 21:13,3.407
12/8/2018 21:18,3.407
12/8/2018 21:23,3.407
12/8/2018 21:28,2.271
12/8/2018 21:33,1.136
12/8/2018 21:38,1.136
12/8/2018 21:43,1.136
12/8/2018 21:48,1.136
12/8/2018 21:53,1.136
12/8/2018 21:58,1.136
12/8/2018 22:03,1.136
12/8/2018 22:08,1.136
12/8/2018 22:13,1.136
12/8/2018 22:18,1.136
12/8/2018 22:23,1.136
12/8/2018 22:28,1.136
12/8/2018 22:33,1.136
12/8/2018 22:38,1.136
12/8/2018 22:43,1.136
12/8/2018 22:48,1.136
12/8/2018 22:53,1.136
12/8/2018 22:58,1.136
12/8/2018 23:03,1.136
12/8/2018 23:08,1.136
12/8/2018 23:13,1.136
12/8/2018 23:18,1.136
12/8/2018 23:23,1.136
12/8/2018 23:28,1.136
12/8/2018 23:33,1.136
12/8/2018 23:38,1.136
12/8/2018 23:43,1.136
12/8/2018 23:48,1.136
12/8/2018 23:53,1.136
12/8/2018 23:58,1.136
13/08/2018 00:03:02,1.136
13/08/2018 00:08:02,1.136
13/08/2018 00:13:02,1.136
13/08/2018 00:18:02,1.136
13/08/2018 00:23:02,1.136
13/08/2018 00:28:02,1.136
13/08/2018 00:33:02,1.136
13/08/2018 00:38:02,1.136
13/08/2018 00:43:02,1.136
13/08/2018 00:48:02,1.136
13/08/2018 00:53:02,1.136
13/08/2018 00:58:02,1.136
13/08/2018 01:03:02,1.136
13/08/2018 01:08:02,1.136
13/08/2018 01:13:02,1.136
13/08/2018 01:18:02,1.136
13/08/2018 01:23:02,1.136
13/08/2018 01:28:02,1.136
13/08/2018 01:33:02,1.136
13/08/2018 01:38:02,1.136
13/08/2018 01:43:02,1.136
13/08/2018 01:48:02,1.136
13/08/2018 01:53:02,1.136
13/08/2018 01:58:02,1.136
13/08/2018 02:03:02,1.136
13/08/2018 02:08:02,1.136
13/08/2018 02:13:02,1.136
13/08/2018 02:18:02,1.136
13/08/2018 02:23:02,1.136
13/08/2018 02:28:02,1.136
13/08/2018 02:33:02,1.136
13/08/2018 02:38:02,1.136
13/08/2018 02:43:02,1.136
13/08/2018 02:48:02,1.136
13/08/2018 02:53:02,1.136
13/08/2018 02:58:02,1.136
13/08/2018 03:03:02,1.136
13/08/2018 03:08:02,1.136
13/08/2018 03:13:02,1.136
13/08/2018 03:18:02,1.136
13/08/2018 03:23:02,1.136
13/08/2018 03:28:02,1.136
13/08/2018 03:33:02,1.136
13/08/2018 03:38:02,1.136
13/08/2018 03:43:02,1.136
13/08/2018 03:48:02,1.136
13/08/2018 03:53:02,1.136
13/08/2018 03:58:02,1.136
13/08/2018 04:03:02,1.136
13/08/2018 04:08:02,1.136
13/08/2018 04:13:02,1.136
13/08/2018 04:18:02,1.136
13/08/2018 04:23:02,1.136
13/08/2018 04:28:02,1.136
13/08/2018 04:33:02,1.136
13/08/2018 04:38:02,1.136
13/08/2018 04:43:02,1.136
13/08/2018 04:48:02,1.136
13/08/2018 04:53:02,1.136
13/08/2018 04:58:02,1.136
13/08/2018 05:03:02,1.136
13/08/2018 05:08:02,1.136
13/08/2018 05:13:02,1.136
13/08/2018 05:18:02,1.136
13/08/2018 05:23:02,1.136
13/08/2018 05:28:02,1.136
13/08/2018 05:33:02,1.136
13/08/2018 05:38:02,1.136
13/08/2018 05:43:02,1.136
13/08/2018 05:48:02,1.136
13/08/2018 05:53:02,1.136
13/08/2018 05:58:02,1.136
13/08/2018 06:03:02,1.136
13/08/2018 06:08:02,1.136
13/08/2018 06:13:02,1.136
13/08/2018 06:18:02,1.136
13/08/2018 06:23:02,1.136
13/08/2018 06:28:02,1.136
13/08/2018 06:33:02,1.136
13/08/2018 06:38:02,1.136
13/08/2018 06:43:02,1.136
13/08/2018 06:48:02,1.136
13/08/2018 06:53:02,1.136
13/08/2018 06:58:02,1.136
13/08/2018 07:03:02,1.136
13/08/2018 07:08:02,1.136
13/08/2018 07:13:02,1.136
13/08/2018 07:18:02,1.136
13/08/2018 07:23:02,1.136
13/08/2018 07:28:02,1.136
13/08/2018 07:33:02,1.136
13/08/2018 07:38:02,1.136
13/08/2018 07:43:02,1.136
13/08/2018 07:48:02,1.136
