DD/MM/YYYY HH:MM:SS,light(lux)
12/8/2018 18:50,66.998
12/8/2018 18:55,21.576
12/8/2018 19:00,20.44
12/8/2018 19:05,982.255
12/8/2018 19:10,45.422
12/8/2018 19:15,34.067
12/8/2018 19:20,23.847
12/8/2018 19:25,12.491
12/8/2018 19:30,30.66
12/8/2018 19:35,66.998
12/8/2018 19:40,43.151
12/8/2018 19:45,13.627
12/8/2018 19:50,7.949
12/8/2018 19:55,12.491
12/8/2018 20:00,3.407
12/8/2018 20:05,21.576
12/8/2018 20:10,6.813
12/8/2018 20:15,6.813
12/8/2018 20:20,11.356
12/8/2018 20:25,14.762
12/8/2018 20:30,18.169
12/8/2018 20:35,10.22
12/8/2018 20:40,17.033
12/8/2018 20:45,11.356
12/8/2018 20:50,11.356
12/8/2018 20:55,17.033
12/8/2018 21:00,11.356
12/8/2018 21:05,10.22
12/8/2018 21:10,4.542
12/8/2018 21:15,10.22
12/8/2018 21:20,17.033
12/8/2018 21:25,6.813
12/8/2018 21:30,9.084
12/8/2018 21:35,7.949
12/8/2018 21:40,12.491
12/8/2018 21:45,7.949
12/8/2018 21:50,5.678
12/8/2018 21:55,4.542
12/8/2018 22:00,3.407
12/8/2018 22:05,3.407
12/8/2018 22:10,1.136
12/8/2018 22:15,1.136
12/8/2018 22:20,1.136
12/8/2018 22:25,1.136
12/8/2018 22:30,1.136
12/8/2018 22:35,1.136
12/8/2018 22:40,1.136
12/8/2018 22:45,1.136
12/8/2018 22:50,1.136
12/8/2018 22:55,1.136
12/8/2018 23:00,1.136
12/8/2018 23:05,1.136
12/8/2018 23:10,1.136
12/8/2018 23:15,1.136
12/8/2018 23:20,1.136
12/8/2018 23:25,1.136
12/8/2018 23:30,1.136
12/8/2018 23:35,1.136
12/8/2018 23:40,1.136
12/8/2018 23:45,1.136
12/8/2018 23:50,1.136
12/8/2018 23:55,1.136
13/08/2018 00:00:06,1.136
13/08/2018 00:05:06,1.136
13/08/2018 00:10:06,1.136
13/08/2018 00:15:06,1.136
13/08/2018 00:20:06,1.136
13/08/2018 00:25:06,1.136
13/08/2018 00:30:06,1.136
13/08/2018 00:35:06,1.136
13/08/2018 00:40:06,1.136
13/08/2018 00:45:06,1.136
13/08/2018 00:50:06,1.136
13/08/2018 00:55:06,1.136
13/08/2018 01:00:06,1.136
13/08/2018 01:05:06,1.136
13/08/2018 01:10:06,1.136
13/08/2018 01:15:06,1.136
13/08/2018 01:20:06,1.136
13/08/2018 01:25:06,1.136
13/08/2018 01:30:06,1.136
13/08/2018 01:35:06,1.136
13/08/2018 01:40:06,1.136
13/08/2018 01:45:06,1.136
13/08/2018 01:50:06,1.136
13/08/2018 01:55:06,1.136
13/08/2018 02:00:06,1.136
13/08/2018 02:05:06,1.136
13/08/2018 02:10:06,1.136
13/08/2018 02:15:06,1.136
13/08/2018 02:20:06,1.136
13/08/2018 02:25:06,1.136
13/08/2018 02:30:06,1.136
13/08/2018 02:35:06,1.136
13/08/2018 02:40:06,1.136
13/08/2018 02:45:06,1.136
13/08/2018 02:50:06,1.136
13/08/2018 02:55:06,1.136
13/08/2018 03:00:06,1.136
13/08/2018 03:05:06,1.136
13/08/2018 03:10:06,1.136
13/08/2018 03:15:06,1.136
13/08/2018 03:20:06,1.136
13/08/2018 03:25:06,1.136
13/08/2018 03:30:06,1.136
13/08/2018 03:35:06,1.136
13/08/2018 03:40:06,1.136
13/08/2018 03:45:06,1.136
13/08/2018 03:50:06,1.136
13/08/2018 03:55:06,1.136
13/08/2018 04:00:06,1.136
13/08/2018 04:05:06,1.136
13/08/2018 04:10:06,1.136
13/08/2018 04:15:06,1.136
13/08/2018 04:20:06,1.136
13/08/2018 04:25:06,1.136
13/08/2018 04:30:06,1.136
13/08/2018 04:35:06,1.136
13/08/2018 04:40:06,1.136
13/08/2018 04:45:06,1.136
13/08/2018 04:50:06,1.136
13/08/2018 04:55:06,1.136
13/08/2018 05:00:06,1.136
13/08/2018 05:05:06,1.136
13/08/2018 05:10:06,1.136
13/08/2018 05:15:06,1.136
13/08/2018 05:20:06,1.136
13/08/2018 05:25:06,1.136
13/08/2018 05:30:06,1.136
13/08/2018 05:35:06,1.136
13/08/2018 05:40:06,1.136
13/08/2018 05:45:06,1.136
13/08/2018 05:50:06,1.136
13/08/2018 05:55:06,1.136
13/08/2018 06:00:06,1.136
13/08/2018 06:05:06,1.136
13/08/2018 06:10:06,1.136
13/08/2018 06:15:06,1.136
13/08/2018 06:20:06,1.136
13/08/2018 06:25:06,1.136
13/08/2018 06:30:06,1.136
13/08/2018 06:35:06,1.136
13/08/2018 06:40:06,1.136
13/08/2018 06:45:06,1.136
13/08/2018 06:50:06,1.136
13/08/2018 06:55:06,1.136
13/08/2018 07:00:06,1.136
13/08/2018 07:05:06,1.136
13/08/2018 07:10:06,1.136
13/08/2018 07:15:06,1.136
13/08/2018 07:20:06,1.136
