DD/MM/YYYY HH:MM:SS,light(lux)
14/07/2018 05:10:45,1.136
14/07/2018 05:15:45,1.136
14/07/2018 05:20:45,1.136
14/07/2018 05:25:45,1.136
14/07/2018 05:30:45,1.136
14/07/2018 05:35:45,1.136
14/07/2018 05:40:45,1.136
14/07/2018 05:45:45,1.136
14/07/2018 05:50:45,1.136
14/07/2018 05:55:45,1.136
14/07/2018 06:00:45,1.136
14/07/2018 06:05:45,1.136
14/07/2018 06:10:45,1.136
14/07/2018 06:15:45,1.136
14/07/2018 06:20:45,1.136
14/07/2018 06:25:45,1.136
14/07/2018 06:30:45,1.136
14/07/2018 06:35:45,1.136
14/07/2018 06:40:45,1.136
14/07/2018 06:45:45,1.136
14/07/2018 06:50:45,1.136
14/07/2018 06:55:45,1.136
14/07/2018 07:00:45,1.136
14/07/2018 07:05:45,1.136
14/07/2018 07:10:45,1.136
14/07/2018 07:15:45,1.136
14/07/2018 07:20:45,1.136
14/07/2018 07:25:45,1.136
14/07/2018 07:30:45,1.136
14/07/2018 07:35:45,1.136
14/07/2018 07:40:45,1.136
14/07/2018 07:45:45,1.136
14/07/2018 07:50:45,1.136
14/07/2018 07:55:45,1.136
14/07/2018 08:00:45,1.136
14/07/2018 08:05:45,1.136
14/07/2018 08:10:45,1.136
14/07/2018 08:15:45,1.136
14/07/2018 08:20:45,1.136
14/07/2018 08:25:45,1.136
14/07/2018 08:30:45,1.136
14/07/2018 08:35:45,1.136
14/07/2018 08:40:45,1.136
14/07/2018 08:45:45,1.136
14/07/2018 08:50:45,1.136
14/07/2018 08:55:45,1.136
14/07/2018 09:00:45,1.136
14/07/2018 09:05:45,1.136
14/07/2018 09:10:45,1.136
14/07/2018 09:15:45,1.136
14/07/2018 09:20:45,1.136
14/07/2018 09:25:45,1.136
14/07/2018 09:30:45,1.136
14/07/2018 09:35:45,1.136
14/07/2018 09:40:45,1.136
14/07/2018 09:45:45,1.136
14/07/2018 09:50:45,1.136
14/07/2018 09:55:45,1.136
14/07/2018 10:00:45,1.136
14/07/2018 10:05:45,1.136
14/07/2018 10:10:45,1.136
14/07/2018 10:15:45,1.136
14/07/2018 10:20:45,1.136
14/07/2018 10:25:45,1.136
14/07/2018 10:30:45,1.136
14/07/2018 10:35:45,1.136
14/07/2018 10:40:45,1.136
14/07/2018 10:45:45,1.136
14/07/2018 10:50:45,1.136
14/07/2018 10:55:45,1.136
14/07/2018 11:00:45,1.136
14/07/2018 11:05:45,1.136
14/07/2018 11:10:45,1.136
14/07/2018 11:15:45,1.136
14/07/2018 11:20:45,1.136
14/07/2018 11:25:45,1.136
14/07/2018 11:30:45,1.136
14/07/2018 11:35:45,1.136
14/07/2018 11:40:45,1.136
14/07/2018 11:45:45,1.136
14/07/2018 11:50:45,1.136
14/07/2018 11:55:45,1.136
14/07/2018 12:00:45,1.136
14/07/2018 12:05:45,1.136
14/07/2018 12:10:45,1.136
14/07/2018 12:15:45,1.136
